id;context;question;answer
1781;Under the provisions of the Company's Articles of Association, all Directors are subject to election at the first Annual General Meeting after their appointment and thereafter to re-election every three years.;What are the implications of the provisions of the Company's Articles of Association?;all Directors are subject to election at the first Annual General Meeting after their appointment and thereafter to re-election every three years
1782;Expensed administration costs in 2017 were reduced to £7.7 million (2016: £10.2 million) mainly due to an additional charge in 2016 of £2.0 million following a true-up of 2015 timewriting rates, and due to increased activity on operated assets (in particular Brasse) leading to a higher G&A recharge to assets.;What accounts for the reduction in expensed administration costs to £7.7 million in 2017?;an additional charge in 2016 of £2.0 million following a true-up of 2015 timewriting rates, and due to increased activity on operated assets (in particular Brasse) leading to a higher G&A recharge to assets
1783;The consumer price index (CPI) closed 2018 with a year-on-year value of 1.2% (with core inflation, a value that does not include changes in the price of energy products or unprocessed fresh foods, which ended the year at 0.9%), following a fall of more than one percent during the last two months of the year, such that the value at the end of 2018 was one tenth more than at the end of 2017 (1.1%). In the aforementioned subsegment, the fall in transport, clothing and healthcare products stands out, with, in contrast, an increase in medical services. The Harmonised Index of Consumer Prices (HICP), which measures the trend in prices using the same method in all countries of the Eurozone, also ended the year at 1.2%. The National Institute of Statistics (NIS) confirmed that the figure for the decrease in inflation at the end of the year was a result of the reduction in fuel prices, especially diesel and petrol, which consequently led to the containment of inflation in all products and services, with transportation implications. In contrast, products associated with leisure and culture increased their prices the most in the final third of the year, driven by the rise in tourism package prices. In December 2018, the highest year-on-year inflation was recorded in the Canary Islands, Catalonia and Madrid (all at 1.4%), as well as Navarre, which also ended the year above the Spanish average (1.3%). Only Melilla ended the year Furthermore, consumer confidence in Spain ended the year at 90.9 points (negative confidence), which was the lowest level in the last two years (consumer perception must be above 100 points in order to be considered positive). In 2018, consumer confidence in Spain fell by 11.5 points (in line with the decrease of the same indicator in the Eurozone by figures close to 2.3 points), following the reduction of the two components of the indicator (current situation and expectations).;What was the factor responsible for the stabilisation of inflation in all transportation-related products and services and the sudden decrease of the inflation ratio?;the reduction in fuel prices, especially diesel and petrol
1784;Chairman Margaret Ford retired from the Board at the February 2017 AGM. As a result the Nominations Committee oversaw the selection of Mark Clare as Non-Executive Chairman with effect from the February 2017 AGM. In accordance with best practice, this was led by Belinda Richards as Senior Independent;What was the consequence of Chairman Margaret Ford retiring from the Board?;the Nominations Committee oversaw the selection of Mark Clare as Non-Executive Chairman with effect from the February 2017 AGM
1785;In light of this performance, the Board is recommending a final dividend of 1.5p per share, to give a total dividend for the year of 3.0p per share.;What does this performance entail?;the Board is recommending a final dividend of 1.5p per share, to give a total dividend for the year of 3.0p per share
1786;(11) WAIO – BKM Ore Reserves have increased due to Mineral Resource classification upgrades at Newman JV and Mining Area C. CID Ore Reserves have decreased after a processing capability re-evaluation of lower CID. Reserve Life remains the same due to an increase in nominated production rate;What factor led to Ore Reserves increasing?;Mineral Resource classification upgrades at Newman JV and Mining Area C
1787;Our simplification journey Pearson enters 2018 in a strong financial position because of tight management of costs, actions to simplify the portfolio and a sharper focus on the biggest opportunities – areas that are consistent with our previously announced simplification strategy.;What factors led to Pearson entering 2018 in a strong financial position?;tight management of costs, actions to simplify the portfolio and a sharper focus on the biggest opportunities – areas that are consistent with our previously announced simplification strategy
1788;The £4.2 m lower trade receivables, commented on earlier, provides a flattering, although exceptional impact on the net cash from operations that would be expected to reverse in FY 18.;What are the results of the £4.2 million decrease in trade receivables?;a flattering, although exceptional impact on the net cash from operations that would be expected to reverse in FY 18
1789;On 31 December, provisions for insolvency risk stood at EUR 6,014 million. Its evolution in comparison with the previous year-end reflects the entry into force of the IFRS 9 on 1 January 2018, which produced an increase of EUR 791 million for credit loss allowances. Furthermore, its evolution is influenced by the recoverable value adjustments to the loan exposures, the cancellation of the debt derived from the purchase and foreclosure of real estate, and the derecognition and write-off of assets.;What factor contributed to the evolution of provisions for insolvency risk which stood at 6,014 euros and to a 791 million euros growth for credit loss allowances?;the entry into force of the IFRS 9 on 1 January 2018
1790;Action taken this year to simplify the business included the successful organisation transformation and restructure of Head Office. Role reductions were made and there was no overall impact on engagement scores for this population. Employee engagement within the total business increased to 81%. As a result of this performance, maximum payment was made under this measure (10%).;What was the effect of the 81% increase in employee engagement within the total business?;maximum payment was made under this measure (10%)
1791;To determine its exposure to these risks, Repsol has developed its own analysis method, given that no standard methodology is available in the industry, adjusting the risk analysis methodology in the short term (5-year horizon typical of a cycle of strategic planning) in order to extend its scope to medium and long-term risks.;What is the implication of Repsol having developed its own analysis method due to no standard methodology existing in the industry?;adjusting the risk analysis methodology in the short term (5-year horizon typical of a cycle of strategic planning) in order to extend its scope to medium and long-term risks
1792;Having made that assessment, the Board is completely satisfied that he remains independent in judgement and character. Stephen will therefore stand for re-election at this year's AGM. As advised last year, it has been agreed that Stephen will not take part in any considerations of the valuation of the Group's property portfolio.;What does Stephen's decision to stand for re-election at this year's AGM result from?;the Board is completely satisfied that he remains independent in judgement and character
1793;The US Dollar PGM basket price (including by-products) increased by 6% compared to the 2016 average price, resulting in an increase in revenue of $89 million. It should be noted that whilst the US Dollar basket price increased compared to 2016, in Rand terms the basket price (including by-products) decreased by 3% driven by the stronger Rand.;What is the $89 million increase in revenue owed to?;The US Dollar PGM basket price (including by-products) increased by 6% compared to the 2016 average price
1794;b) Where actual energy consumption data cannot be obtained we have estimated emissions, pro-rata, based on the data recorded by similar sites in the Group. Using this methodology, the estimated emissions from these sites equate to 0.4% of the Group' s total emissions.;What is the result of this methodology on sites where actual energy consumption data cannot be obtained?;the estimated emissions from these sites equate to 0.4% of the Group' s total emissions
1795;Over the past year, REL has focussed on maintaining capital flexibility for its existing investments and as a result has not participated in new investments by Riverstone's Global Energy & Power Fund VI.;What does REL's participation in new investments by Riverstone's Global Energy & Power Fund VI stem from?;Over the past year, REL has focussed on maintaining capital flexibility for its existing investments
1796;Due to the size and composition of the Board, the Group does not operate a nomination committee. New Director appointments are therefore a matter for the Board as a whole.;What are the implications of the size and composition of the Board?;the Group does not operate a nomination committee
1797;Operating expenses EBITDA grew by 26% from £8.0m to £10.1m, part of this growth was due to the improvement in margins from moving the infrastructure into the cloud which now allows the platform to scale globally.;What factor contributed to the 26% growth in Operating Expenses EBITDA, from £8.0m to £10.1m?;the improvement in margins from moving the infrastructure into the cloud which now allows the platform to scale globally
1798;Medium as likelihood of volatility is high but the potential impact at present is low due to the quantum of investment in Ireland.;What caused the potential impact being low at present?;the quantum of investment in Ireland
1799;The effective tax rate on Underlying Profits was 21%. The effective tax is higher than the prevailing rate due to certain charges being disallowed for UK corporation tax. During the second half of the year, the Group successfully concluded negotiations with HMRC in respect of certain historic expenditures.;What causes the effective tax to be higher than the prevailing rate?;certain charges being disallowed for UK corporation tax
1800;"• Specific risks for 2018: reduced flexibility to manage the business due to new controls agreed with lenders; breach of revised banking covenants; and inability to execute corporate actions including funding development projects such as Sea Lion.";What factor led to reduced flexibility to manage the business?;new controls agreed with lenders
1801;Following a competitive tender process, PwC were appointed the Group's auditors in December 2011 and have therefore served as the Group's auditors since the conclusion of the 2012 AGM. Accordingly, the 2017 audit is PwC's sixth consecutive audit.;Why have PwC served as the Group's auditors since the conclusion of the 2012 AGM?;PwC were appointed the Group's auditors in December 2011
1802;Professional fees tax effected based on the applicable rate in the UK in the period in which incurred. Share-based compensation is not deductible for tax purposes and therefore not tax-affected.;Why shared-based compensation is not tax-affected?;Share-based compensation is not deductible for tax purposes
1803;Total net assets at 31 December 2017 were £35.7 million compared to £41.8 million in 2016. The decrease in net assets during the year is due to the loss for the year of £4.6 million and the negative movements in the foreign exchange reserve of £1.5;What were the reasons for the decrease in net assets during the year?;the loss for the year of £4.6 million and the negative movements in the foreign exchange reserve of £1.5
1804;The Spitfire brand has broadened its appeal thanks to a portfolio consisting of lager, gold and amber variants.;What does Spitfire brand's broadened appeal owe to?;a portfolio consisting of lager, gold and amber variants
1805;The foreign currency risk to which the Group is exposed as a result of its operations in the international sphere is managed in accordance with the Market Risks Policy, which envisages various strategies aimed at reducing that risk, such as, for example, the arrangement of financial or natural hedges, ongoing monitoring of exchange rate fluctuations and other complementary measures.;What factores lead to the foreign currency risk to which the Group is exposed being managed in accordance with the Market Risks Policy?;its operations in the international sphere
1806;Revenues have stayed broadly flat. Adjusted operating profit 1 has reduced to £82.0m (2016: £95.2m). Reported operating profit before other items reduced to a loss of £(6.3)m (2016: profit £113.9m), after writing off £88.3m as a result of the balance sheet review.;What did the balance sheet review lead to?;Reported operating profit before other items reduced to a loss of £(6.3)m (2016: profit £113.9m), after writing off £88.3m
1807;Finance and Marketing transitioned 100% into the SSC, other functions partially transferred with benefits in in-country back office staff reductions between 30-70%. Standardised processes and systems have resulted in the cost per fee earner reducing by 21%. Extension of the centre concept is being planned for extension to other geographies. The Global Finance System went live in the UK Shared Service Centre with further countries to be rolled out, introducing standards and simplifying processes to drive efficiency.;What did standardised processes and systems bring about?;the cost per fee earner reducing by 21%
1808;Based on our professional judgement, we determined materiality for the financial statements as a whole as follows: Group materiality £1.90m (2016: £1.67m).;What happened due to their professional judgement?;we determined materiality for the financial statements as a whole as follows: Group materiality £1.90m (2016: £1.67m)
1809;— The like-for-like occupancy rate across the portfolio has continued to grow due to flexibility offered on deals by in-house marketing and the customer support centre.;What factors led to the continued growth in the like-for-like occupancy rate across the portfolio?;flexibility offered on deals by in-house marketing and the customer support centre
1810;Revenues and margins may be adversely affected should competitors launch a novel or generic product that competes with one of our unique products upon the expiry or early loss of patents. Costs may increase due to defensive marketing activity.;What may cause costs to increase?;defensive marketing activity
1811;There was also an increase in geographic diversity linked to executed projects because of engagements made as part of the agreement with UNICEF.;What led to a greater geographic variety?;executed projects because of engagements made as part of the agreement with UNICEF
1812;Because of the write-offs in goodwill over the past few years, the Company, in accounting terms, is currently prevented from paying a dividend. Therefore, as part of the business carried out at the Annual General Meeting, a resolution will be put forward to enable the Company to undertake a capital reduction.;What is the reason the Company is currently prevented, in accounting terms, from paying a dividend?;the write-offs in goodwill over the past few years
1813;This patented product delivers significant value to both our customers and the end user markets as the SyNovus® formulation significantly reduces the required operating temperature of glove manufacturing lines, reducing both energy costs and the associated environmental impact.;Why this patented product delivers significant value to both customers and the end user markets?;the SyNovus® formulation significantly reduces the required operating temperature of glove manufacturing lines
1814;Due to the current uncertainties with the Brexit negotiations the Group is still considering appropriate mitigation strategies. However, the bulk of the Group's operations and revenues are UK-based. Romania and Ireland will remain within the EU and are unlikely to be significantly affected by Brexit.;What is the reason the Group is still considering appropriate mitigation strategies?;the current uncertainties with the Brexit negotiations
1815;Due to the high profile of the Group, the Committee reserves the right to provide our Executives with the appropriate level of security arrangements to allow them to perform their duties in the safest possible conditions.;What are the implications of the high profile of the Group?;the Committee reserves the right to provide our Executives with the appropriate level of security arrangements to allow them to perform their duties in the safest possible conditions
1816;We made some adjustments to our proposition in 2017, given the potential uncertainty ahead and tight margins in certain areas. We therefore decided to restrict lending growth in consumer, and commercial real estate sectors.;What prompted the adjustments to their proposition in 2017?;the potential uncertainty ahead and tight margins in certain areas
1817;As a result of the dividend payout and the share buyback programme – in the absence of inorganic investment opportunities that meet the criteria for financial discipline in investment – Naturgy shareholders may be up for a total of Euros 1,5 billion in remuneration to be charged against the results of 2018, 50% higher than the previous year.;What is the impact of returning capital to shareholders through dividends and buybacks?;Naturgy shareholders may be up for a total of Euros 1,5 billion in remuneration to be charged against the results of 2018, 50% higher than the previous year
1818;The Committee discussed the Group's approach to the new revenue standard (IFRS 15). The standard does not apply to transactions that are accounted for in accordance with IFRS 9 and, as a result, the impact on the Group is not significant.;Why is the impact of the standard on the Group not significant?;The standard does not apply to transactions that are accounted for in accordance with IFRS 9
1819;Operating cash flow rose by 1% in headline terms, despite a decrease in adjusted operating profit, driven by a strong cash conversion of 116% driven by tight working capital control, strong collections and high Penguin Random House cash dividends.;What factors are owed to the strong cash conversion of 116%?;tight working capital control, strong collections and high Penguin Random House cash dividends
1820;The Committee has included TSR in the LTIP performance conditions for the 2017 award and intends to continue to use it under the new policy because TSR is aligned to shareholders' ownership experience. The Committee recognises the range of shareholder views on TSR as a performance measure for LTIP awards;What is the reason for the Committee to continue using TSR under the new policy?;TSR is aligned to shareholders' ownership experience
1821;The Group had a reduced finance credit of £1.1m (2016: £2.4m) arising from the unwinding of the discount on its available for sale financial assets during 2017 as the portfolio was sold during the year. There were also other expenses of £0.2m (2016: income of £0.3m).;What motivated the Group's £1.1m reduction in finance credit, compared to 2016's £2.4m?;the unwinding of the discount on its available for sale financial assets during 2017
1822;Goodwill The goodwill on the Group's balance sheet at 31 December 2017 decreased to £874 million (2016: £937 million). The decrease was due to currency translation differences of £46 million and the disposal of goodwill relating to Heery International Inc of £17 million.;What factors contributed to the decrease in goodwill on the Group's balance sheet to £874 million as of 31 December 2017?;currency translation differences of £46 million and the disposal of goodwill relating to Heery International Inc of £17 million
1823;A sub-committee meeting comprising the Chairman, Audit Committee Chair and executive directors was held on 8 September 2016. Katherine Innes Ker and Nick Horler were therefore eligible to attend four unscheduled Board meetings.;What is the reason Katherine Innes Ker and Nick Horier are eligible to attend four unscheduled Board meetings?;A sub-committee meeting comprising the Chairman, Audit Committee Chair and executive directors was held on 8 September 2016
1824;There were five Committee meetings during 2017 and the Directors' attendance during that period was as follows: 1 Vicky Jarman and Dr Tim Miller were unable to attend one meeting due to prior commitments.;What led to Vicky Jarman and Dr Tim Miller being unable to attend one meeting?;prior commitments
1825;The Committee's activities in 2017 included: – Receiving reports on cultural change and challenging management to ensure that performance management outcomes and incentives and were directly linked to the Santander values and positive behaviours. Time spent on culture reduced as a result of such matters transferring to the Responsible Banking Committee.;What caused the reduction in time spent on culture?;such matters transferring to the Responsible Banking Committee
1826;Our polyhalite product contains four of the six macro-nutrients (potassium, sulphur, magnesium and calcium) required for plant growth. Polyhalite is an effective, direct application, multi-nutrient fertilizer and can also be combined with nitrogen and phosphorous to create high-value NPK fertilizer products that contain all six macro- nutrients. As such, we are less exposed to the existing potash supply structure with respect to product supply and demand dynamics.;What is the explanation for the low exposure to the existing potash supply structure regarding product supply and demand dynamics?;Polyhalite is an effective, direct application, multi-nutrient fertilizer and can also be combined with nitrogen and phosphorous to create high-value NPK fertilizer products that contain all six macro- nutrients
1827;The CAF Group adopts the measures that it considers necessary to ensure that employees can exercise their rights to freedom of association and collective bargaining in all the countries where it operates. It also has the required measures in place to prevent child labour, forced or compulsory labour or the assignation of hazardous labour to young people, both in its own operations and upstream among its suppliers, thanks to the collaboration with Ecovadis detailed in the “Social Matters” section, and the oversight activities performed to ensure compliance with the Code of Conduct in CAF’s core activity at domestic and international levels. In 2017 the Group published a slavery and human trafficking statement in accordance with UK Modern Slavery Act 2015.;What causes the CAF Group having the required measures in place to prevent child labour, forced or compulsory labour or the assignation of hazardous labour to young people, both in its own operations and upstream among its suppliers?;the collaboration with Ecovadis detailed in the “Social Matters” section, and the oversight activities performed to ensure compliance with the Code of Conduct in CAF’s core activity at domestic and international levels
1828;The return on capital employed rose in the current year to 19.3% from 17.1% in 2016. Free cash flow increased to £83.0m (2016: £60.5m) as a result of our improved profitability and in spite of increased capital expenditure to support the future growth of the business.;What caused free cash flow to increase to £83.0 million in 2017?;our improved profitability
1829;In 2018 the majority of employees across the Group have received average salary increases ranging from 2.0%–3.25%, dependent on geographical location with the principal exception being those employees based in Brazil, Latin America and China where, due to inflation, current market salary increases are higher.;What factor led to employees based in Brazil, Latin America, and China receiving higher salary increases compared to other regions?;inflation
1830;Cumulative free cash flow is defined as net cash inflow from operating activities, less capital expenditure, less the cash flow input of certain adjusted items. Free cash flow is the most appropriate measure of cash flow performance because it relates to cash generated to finance additional investments in business opportunities;What factor explains that free cash flow is the most appropriate measure of cash flow performance?;it relates to cash generated to finance additional investments in business opportunities
1831;Group adjusted operating margins declined by 80bps to 5.5% (2016: 6.3%), primarily due to an increase in operating costs from investments in the Group's customer propositions, together with a 20bps decline in gross margins.;What factors drove the Group's decline in adjusted operating margins by 80bps, to 5.5%, compared to 2016's 6.3%?;an increase in operating costs from investments in the Group's customer propositions, together with a 20bps decline in gross margins
1832;Gross margin was 71.3% (2016: 76.3%). The decrease was due to the change in mix towards the lower margin commercial activity in the Africa and Asia Pacific region, as a result of a full year's contribution from Link. The gross margin from the Specialty Pharmaceutical products was broadly unchanged.;What drove the decrease in the gross margin to 71.3%, compared to 76.3% in 2016?;the change in mix towards the lower margin commercial activity in the Africa and Asia Pacific region
1833;Profit after tax rose from $68.1m in 2016 to $117.6m, driven by underlying earnings growth and a one-off tax credit as result of changes to US tax legislation.;What factors contributed to the rise in profit after tax from $68.1m in 2016 to $117.6m?;underlying earnings growth and a one-off tax credit
1834;Underlying attributable profit was 4% lower in euros at EUR 1,705 million, 8% higher excluding the exchange rate impact, due to greater customer revenue and lower provisions.;What was the effect of the greater customer revenue and lower provisions?;Underlying attributable profit was 4% lower in euros at EUR 1,705 million
1835;The internal control system is designed to manage risk rather than eliminate it and can therefore only provide reasonable and not absolute assurance against material misstatement or loss. The Board confirms that there are on-going processes for identifying, evaluating and managing the significant risks faced by the Group.;What is the reason for the internal control system being able to provide only reasonable and not absolute assurance against material misstatement or loss?;The internal control system is designed to manage risk rather than eliminate it
1836;Subsequent programme updates were provided at the September and November Committee meetings. The Committee was confident that the Group was doing all that it could to be compliant by the deadline and that any outstanding challenges were common across the industry primarily due to market-wide issues and dependencies.;What is the primary cause of the outstanding challenges being common across the industry?;market-wide issues and dependencies
1837;The average estimated time dedicated by each member of the committee to preparing for and participating in meetings held in 2018 was approximately four hours per meeting, with the chairman estimated to have spent double that time per meeting. Annual assessment of the functioning and performance of the committee and fulfilment of the goals set for 2018 The committee's effectiveness during 2018 was considered as part of the overall internal assessment of board effectiveness carried out internally this year. The committee considered the findings and suggested actions resulting from the review and related to the appointments committee. In 2018, the committee successfully addressed all the challenges put forward for the year and identified in the 2017 activities report. In particular, confirmed its leadership role in the proper composition of the board of directors achieving a broader geographical diversity as a result of the incorporation of Mr Alvaro Cardoso de Souza in 2018 and reviewing also its own composition avoiding the identity of its members with those of the remuneration committee, in line with the best practices. The self-assessment process positively rated both the composition of the committee and the very high degree of dedication among its members, as well as the chairman's leadership. The frequency and duration of its meetings were also found to be appropriate for its proper functioning and for the performance of their duties and that sufficient and accurate documentation was provided on the topics discussed, the proper presentation of which strengthened the quality of the debates among members and sound decision-making. 2019 priorities;What contributed to the confirmation of the leadership role in the proper composition of the board of directors achieving a broader geographical diversity and reviewing its own composition avoiding the identity of its members with those of the remuneration committee, in line with the best practices?;the incorporation of Mr Alvaro Cardoso de Souza in 2018
1838;• We have finalised a new standard for the technological and physical security of all our business units. Implementation has taken more time than expected due to the extent of the new arrangements and the increased scope. However, we are planning to complete implementation for all business units during 2018.;What is the reason the implementation of the new standard has taken more time than expected?;the extent of the new arrangements and the increased scope
1839;The ramp up of the entire plant has been successful due to the experience of our in-house construction team and SENET, our EPCM engineering contractor. The Company is pleased to report that Yanfolila has a 95% Malian work force, with the supervisors and control room operators having been recruited;What led to the ramp up of the entire plant to be successful?;the experience of our in-house construction team and SENET, our EPCM engineering contractor
1840;AISC of US$803 per ounce sold was 10% higher than 2016 (US$733/oz) primarily due to higher cash costs as explained above (US$88/oz) and the impact of the lower production base (US$51/oz), partly offset by lower capitalised development costs (US$45/oz) and lower sustaining capital expenditure (US$18/oz).;What caused the AISC to increase to US$803 per ounce sold, which is 10% higher than the 2016 cost of US$733 per ounce?;higher cash costs as explained above (US$88/oz) and the impact of the lower production base (US$51/oz)
1841;(i) a worse net sales mix with branded products, in which sales volumes rose but the net value was considerably reduced by promotion activities (with an impact of -€2.5 million), (ii) the smaller contribution by Roland Monterrat products owing to tougher price competition in the sandwich market (-€2 million) and (iii) cost inflation of raw and auxiliary materials, especially in the case of fragrant varieties, meat for fillings and transport, in spite of a positive performance by durum wheat (-€4.5 million overall).;What are the reasons behind the smaller contribution by Roland Monterrat products?;tougher price competition in the sandwich market (-€2 million) and (iii) cost inflation of raw and auxiliary materials, especially in the case of fragrant varieties, meat for fillings and transport, in spite of a positive performance by durum wheat (-€4.5 million overall)
1842;During the year the Remuneration Committee reviewed the salary of the CEO who was awarded an increase of 2% in line with increases for the wider workforce. Given that Darren Bryant has informed the Board that he wishes to retire following the appointment of a successor and an appropriate handover period, his salary has not been reviewed.;Why has Darren Bryant's salary not been reviewed?;Darren Bryant has informed the Board that he wishes to retire following the appointment of a successor and an appropriate handover period
1843;The Group Director of Risk & Internal Audit was appointed on 2 October 2017, reporting directly to the Chairman of the Audit Committee. This is seen as a key measure and commitment from the Board to improve reporting and consequently control systems.;What causes the improvement in control systems?;This is seen as a key measure and commitment from the Board to improve reporting
1844;Delivering the science-based carbon reduction and climate resilience targets set out in the Paris Agreement will have significant structural implications for the economy and the businesses and communities we serve. That is why we are evolving our Group-wide sustainability strategy.;What will cause significant structural effects for the economy and the businesses and communities they serve?;Delivering the science-based carbon reduction and climate resilience targets set out in the Paris Agreement
1845;Net financing costs remained at a similar level to last year, despite the improvement in our net cash position, as a result of the group's longer-term financing, through our US private placement, and some local currency debt maintained as a hedge against assets in high inflation economies.;What explains the net financing costs remaining at a similar level to last year despite the improvement in their net cash position?;the group's longer-term financing, through our US private placement, and some local currency debt maintained as a hedge against assets in high inflation economies
1846;These metrics are key determinants of shareholder value creation, because they reflect the effectiveness of strategic investment decisions, the focus on growing our SFI business and the growth in financial value of the whole Group.;Why are metrics essential factors in determining shareholder value creation?;they reflect the effectiveness of strategic investment decisions, the focus on growing our SFI business and the growth in financial value of the whole Group
1847;A number of investment properties that have previously been impaired are in receipt of rental income from independent third party tenants. As a result, £2.2m of impairment against these locations is no longer required and has been reversed (2016: £0.4m charge).;What are the consequences of some previously-impaired investment properties being in receipt of rental income from independent third party tenants?;£2.2m of impairment against these locations is no longer required and has been reversed (2016: £0.4m charge)
1848;IFRS 15 will be adopted from 1 January 2018 and therefore in next year's audited financial statements, Gamma will restate the 2017 figures under the new accounting policies (which are set out in Note 3).;Why will Gamma restate the 2017 figures under the new accounting policies in next year's audited financial statements?;IFRS 15 will be adopted from 1 January 2018
1849;Based on its assessment of performance, the Committee applied its judgement to determine annual bonus awards, without attaching a weighting to each performance factor or setting a value payable for achievement of each target. The Group Chief Executive's recommendation was taken into account for the Chief Financial Officer.;What was the implication of the performance assessment?;the Committee applied its judgement to determine annual bonus awards, without attaching a weighting to each performance factor or setting a value payable for achievement of each target
1850;Net debt has increased from $61.8m to $73.1m at 30 September 2017, primarily due to the acquisition of Treasure Beach in May 2017. An additional $8.4m was added to the Bank of Nova Scotia loan facility and was fully drawn down at that point.;What was the main reason for net debt increasing from $61.8m to $73.1m at 30 September 2017?;the acquisition of Treasure Beach in May 2017
1851;As the Board consists entirely of non-executive directors it is considered appropriate that matters relating to remuneration are considered by the Board as a whole, rather than a separate remuneration committee. All directors are considered independent with the exception of Oliver Bedford who is an employee of Hargreave Hale Limited and is not therefore independent.;What are the consequences of the Board consisting entirely of non-executive directors?;it is considered appropriate that matters relating to remuneration are considered by the Board as a whole, rather than a separate remuneration committee
1852;By their nature, such strategic projects are often complicated, interlinked and may result in a high level of change and require considerable resource to deliver them. As a result, the expected benefits and the costs of implementation of each project may deviate from those anticipated at their outset.;Why might the expected benefits and costs of implementation of each strategic project deviate from those anticipated at their outset?;By their nature, such strategic projects are often complicated, interlinked and may result in a high level of change and require considerable resource to deliver them
1853;We have an extensive operations' footprint across 30 countries. Our broad range of products are therefore never far from where they need to be, allowing us to meet our customers' needs quickly and easily, as well as reducing the number of deliveries to our customers.;What does the presence of the wide range of products always being close to where they are needed enable?;to meet our customers' needs quickly and easily, as well as reducing the number of deliveries to our customers
1854;The remaining 30% of the bonus opportunity was based on specific personal/strategic objectives set by the Remuneration Committee, concerning their key responsibilities in connection with delivering the Group's strategy. Achievement of these personal/strategic objectives resulted in bonus payments of 27.0% of salary for Andrew Tinkler.;What did the achievement of the personal/strategic objetives set by the Remuneration Committee lead to?;bonus payments of 27.0% of salary for Andrew Tinkler
1855;Increase in Life MSB due to investment contract liability reassessment.;What does the increase in Life arise from?;investment contract liability reassessment
1856;If we are to understand modern society, we need a diverse and inclusive workforce that reflects society. Managing this talent diversity in an inclusive way, reflecting our values, will enable us to attract, develop and retain the best professionals and to achieve better results in a sustainable manner.;What is the impact of them managing the talent diversity in an inclusive way, which also reflects their values?;to attract, develop and retain the best professionals and to achieve better results in a sustainable manner
1857;During the year, the weakness of Sterling against the Euro and the US Dollar following the Brexit vote, has put pressure on food cost inflation. Where possible we have benefited from additional volume discounts due to our significant opening program.;What were the implications of the Brexit vote?;the weakness of Sterling against the Euro and the US Dollar
1858;Looking forward, the Group expects to set its initial MBE for future accident years conservatively. Over time, the proportion of the Group's underwriting profit attributable to the current-year is expected to increase, including due to targeted improvements in the expense and commission ratios.;What is the reason the proportion of the Group's underwriting profit attributable to the current year is expected to increase over time?;targeted improvements in the expense and commission ratios
1859;The system of internal control is designed to identify, evaluate and manage significant risks associated with the achievement of the Group's objectives. Because of the limitations inherent in any system of internal control, this system is designed to meet the Group's particular needs and the risks to which it is exposed, rather than eliminate risk altogether. Consequently it can only provide reasonable, and not absolute, assurance against material misstatement or loss.;What do the limitations inherent in any system of internal control translate to?;this system is designed to meet the Group's particular needs and the risks to which it is exposed, rather than eliminate risk altogether
1860;Our Connected World Services division has also had a good year, generating £21 million of headline EBIT, driven by deepening our existing partnerships. Our relationship with Sprint continues to evolve and we are currently in the process of rolling-out our IT platform, honeybee, across their estate;What caused the Connected World Services division to generate £21 million of headline EBIT?;deepening our existing partnerships
1861;Rather than join in with our peers who invariably start cost cutting once the bear market arrives, we prefer to keep staff together thus maintaining not just corporate knowledge but their focus and long-term commitment.;What are the implications of preferring to keep staff together?;maintaining not just corporate knowledge but their focus and long-term commitment
1862;"In 2018, the total volume of waste treated was 16,068 tons, 20% less than the previous year. This was due to a better use of materials and the shutting down of production at the Monzón plant, where the surplus water from the processing was categorized as waste. Furthermore, the by-product generated in the chemical process is no longer manufactured. Fluidra Group companies do not transport or treat waste internationally classified as hazardous, in compliance with Annexes I, II, II and VIII, of the Basel Convention; all treatment or transportation that may result from such waste is performed in accordance with national regulations.";What happened because of the improved use of materials and the closure of the Monzón plant?;In 2018, the total volume of waste treated was 16,068 tons, 20% less than the previous year
1863;• Gold production exceeded guidance principally as a result of the full year of operations at San Julián phase I, although it reduced by 2.6% year-on-year due to the expected reduction of gold inventories at Herradura.;Why did the gold production reduce by 2.6% year-on-year?;the expected reduction of gold inventories at Herradura
1864;Because the BHC Act generally restricts the activities of BHCs to banking and activities closely related to banking, Barclays PLC, Barclays Bank PLC and BUSL have elected to be treated as financial holding companies under the BHC Act.;What is the consequence of the BHC Act generally restricting the activities of BHCs to banking and closely related activities?;Barclays PLC, Barclays Bank PLC and BUSL have elected to be treated as financial holding companies under the BHC Act
1865;Due to timing of the 2017 year-end process, the actual short-term incentive figures for all other employees had not been finalized by the date of this report. Therefore, the 2017 short-term incentive figures represent target figures multiplied by the 2017 Corporate Bonus Modifier score approved by the Committee in early February.;What was the effect of the timing of the 2017 year-end process?;the actual short-term incentive figures for all other employees had not been finalized by the date of this report
1866;The tax rate on adjusted profit in FY 2017 was 25.8% (2016: 24.7%), higher than initially guided principally due to a change in the geographic mix of our taxable profits, in addition to a change in the transfer pricing approach by an overseas tax authority.;What were the reasons the tax rate on adjusted profit in FY 2017 was higher than initially guided?;a change in the geographic mix of our taxable profits, in addition to a change in the transfer pricing approach by an overseas tax authority
1867;The new code is a development from the previous version as it more explicitly outlines the steps employees should take to ensure that their day-to-day actions and decisions are consistent both with SSE's values and rules.;Why is the new code considered a development from the previous version?;it more explicitly outlines the steps employees should take to ensure that their day-to-day actions and decisions are consistent both with SSE's values and rules
